9,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,1,10,0,2,1,0,0,1,1,10,0,1,2,10,0,1,0,0,0,1,1,0,10,1,0,0,10,0,0,10,1,1,1,0,0,10,1,0,0,0,10,1,0,10,0,1,1,0,0,10,1,1,10,1,1,2,1,10,2,10,0,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
10,Frase 1,Frase 1,Frase 1,Frase 2,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,1,2,9,0,1,1,0,0,3,1,10,0,2,0,10,0,1,2,0,0,1,1,0,10,1,0,0,10,0,0,10,0,1,1,0,0,10,2,0,0,0,10,1,0,10,0,1,1,0,0,10,0,1,9,1,1,1,0,10,1,10,0,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
11,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,1,9,0,1,1,0,0,2,1,10,0,1,0,10,0,1,0,0,0,1,1,0,9,2,0,0,10,0,0,10,0,1,1,0,0,10,1,0,0,0,10,1,0,10,0,2,2,0,0,10,1,1,10,1,1,0,0,10,1,10,0,1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1
12,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,1,10,0,0,0,0,0,1,1,10,0,1,1,10,0,1,2,0,0,1,1,0,9,1,2,0,10,0,1,10,1,1,1,0,0,10,1,0,0,0,10,1,0,10,0,1,1,0,0,10,1,2,10,1,2,1,0,10,1,10,0,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
13,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,3,9,0,1,1,0,0,2,1,10,0,1,0,10,0,3,0,0,0,2,3,0,10,2,0,0,10,0,0,10,0,0,2,0,0,10,1,0,0,0,10,3,0,10,0,2,2,0,0,10,1,1,10,1,1,0,0,10,1,10,0,2,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
14,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,0,10,0,1,2,0,0,1,1,10,0,1,0,10,0,1,1,0,0,1,2,1,10,1,1,0,10,1,1,10,1,1,1,0,0,10,1,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,10,1,1,0,0,10,1,10,0,0,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
15,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,0,10,0,1,2,0,0,1,1,9,0,1,0,10,0,1,2,0,0,1,1,0,10,1,0,0,10,1,1,10,0,2,2,0,0,0,1,0,1,0,10,2,0,10,0,1,0,0,0,10,2,1,10,1,1,0,0,10,1,10,0,0,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1
16,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,1,10,0,1,0,0,0,3,1,9,0,1,0,10,0,1,2,0,0,1,0,0,10,1,1,0,10,1,1,10,1,1,1,0,0,10,1,1,0,0,10,2,3,9,0,3,2,0,0,10,1,2,10,1,1,0,0,10,1,10,0,0,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
17,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,0,0,9,0,0,0,0,0,3,2,8,0,1,0,10,0,2,1,0,0,1,1,0,10,1,2,0,10,1,1,10,0,1,1,0,0,10,1,1,0,0,10,1,1,10,0,1,2,0,0,10,1,1,10,2,2,0,0,10,1,10,0,0,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
18,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,2,2,10,0,1,1,0,0,1,1,10,0,2,0,9,0,2,1,0,0,1,1,0,10,2,1,0,10,2,1,10,1,1,1,0,0,10,1,1,0,0,10,1,1,10,0,1,1,0,0,10,2,2,10,1,1,0,0,10,1,10,0,0,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
19,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,1,8,0,1,2,0,0,2,1,10,0,3,0,8,0,1,4,0,0,2,1,0,10,1,1,0,10,2,0,10,3,3,1,0,0,10,2,3,0,0,10,1,1,10,0,1,1,0,0,10,1,0,10,3,3,0,0,10,2,10,1,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 2
20,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,1,10,0,1,1,0,1,2,3,10,0,1,2,10,0,1,1,0,0,1,1,0,10,1,1,0,10,1,0,10,0,1,0,0,0,10,1,1,0,0,10,1,1,10,0,1,1,0,0,10,1,0,10,0,1,0,0,10,1,10,4,2,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
21,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,1,9,2,1,1,1,1,2,1,10,1,2,1,10,0,1,1,0,0,1,1,0,10,1,1,0,10,1,0,10,0,0,0,0,0,10,1,1,0,0,10,1,1,10,2,1,1,0,0,10,1,0,10,1,1,0,0,10,1,10,1,0,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
22,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,0,10,0,0,1,1,1,1,1,10,0,1,1,10,0,1,1,0,1,1,0,0,10,1,1,0,10,1,0,10,0,0,0,0,0,10,1,1,0,0,10,1,0,9,0,1,1,0,0,10,0,0,9,3,3,0,0,10,3,10,1,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
23,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,0,10,2,1,2,0,1,1,1,10,1,1,1,10,0,1,1,0,0,1,1,0,10,1,1,0,10,1,0,10,1,1,1,0,0,10,1,0,0,0,10,1,1,10,0,1,1,0,0,10,1,1,10,1,1,0,0,10,1,10,1,1,Frase 1,Frase 1,Frase 1,Frase 1,Frase 1
24,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,1,2,10,1,2,1,1,2,1,1,10,1,2,1,9,1,1,1,0,1,1,1,0,10,1,2,0,10,1,0,10,1,2,1,0,0,10,1,0,0,0,10,1,1,10,0,1,1,0,0,10,1,1,10,1,1,1,0,10,1,10,2,2,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1
25,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1,Frase 2,Frase 2,Frase 2,Frase 2,Frase 2,Frase 1,Frase 2,Frase 1,Frase 1,Frase 1,Frase 1,0,1,9,1,1,1,0,0,1,0,10,0,1,1,9,0,1,1,0,0,2,1,0,10,1,1,0,10,1,0,10,2,2,2,0,0,10,1,2,0,0,10,1,1,10,0,1,1,0,0,10,1,1,10,1,1,2,0,10,1,10,2,1,Frase 1,Frase 1,Frase 2,Frase 1,Frase 1
